time_ms,v_soma_mV,v_proximal_dendrite_mV,v_proximal_axon_candidate_mV
0.000000,-65.000000,-65.000000,-65.000000
0.050000,-64.999995,-64.999996,-64.999993
0.100000,-64.999991,-64.999992,-64.999989
0.150000,-64.999987,-64.999989,-64.999985
0.200000,-64.999984,-64.999986,-64.999982
0.250000,-64.999982,-64.999984,-64.999979
0.300000,-64.999979,-64.999981,-64.999977
0.350000,-64.999977,-64.999979,-64.999974
0.400000,-64.999974,-64.999977,-64.999972
0.450000,-64.999972,-64.999974,-64.999970
0.500000,-64.999970,-64.999972,-64.999968
0.550000,-64.999968,-64.999970,-64.999966
0.600000,-64.999966,-64.999968,-64.999964
0.650000,-64.999964,-64.999966,-64.999962
0.700000,-64.999962,-64.999964,-64.999960
0.750000,-64.999960,-64.999963,-64.999958
0.800000,-64.999958,-64.999961,-64.999956
0.850000,-64.999956,-64.999959,-64.999954
0.900000,-64.999955,-64.999957,-64.999952
0.950000,-64.999953,-64.999956,-64.999951
1.000000,-64.999951,-64.999954,-64.999949
1.050000,-64.999949,-64.999952,-64.999947
1.100000,-64.999948,-64.999951,-64.999946
1.150000,-64.999946,-64.999949,-64.999944
1.200000,-64.999944,-64.999947,-64.999942
1.250000,-64.999943,-64.999946,-64.999941
1.300000,-64.999941,-64.999944,-64.999939
1.350000,-64.999940,-64.999943,-64.999938
1.400000,-64.999938,-64.999941,-64.999936
1.450000,-64.999937,-64.999940,-64.999935
1.500000,-64.999935,-64.999938,-64.999933
1.550000,-64.999934,-64.999937,-64.999932
1.600000,-64.999932,-64.999935,-64.999930
1.650000,-64.999931,-64.999934,-64.999929
1.700000,-64.999929,-64.999932,-64.999927
1.750000,-64.999928,-64.999931,-64.999926
1.800000,-64.999926,-64.999929,-64.999924
1.850000,-64.999925,-64.999928,-64.999923
1.900000,-64.999924,-64.999927,-64.999922
1.950000,-64.999922,-64.999925,-64.999920
2.000000,-64.999921,-64.999924,-64.999919
2.050000,-64.999920,-64.999923,-64.999918
2.100000,-64.999918,-64.999921,-64.999916
2.150000,-64.999917,-64.999920,-64.999915
2.200000,-64.999916,-64.999919,-64.999914
2.250000,-64.999914,-64.999917,-64.999912
2.300000,-64.999913,-64.999916,-64.999911
2.350000,-64.999912,-64.999915,-64.999910
2.400000,-64.999910,-64.999913,-64.999908
2.450000,-64.999909,-64.999912,-64.999907
2.500000,-64.999908,-64.999911,-64.999906
2.550000,-64.999907,-64.999910,-64.999905
2.600000,-64.999905,-64.999908,-64.999903
2.650000,-64.999904,-64.999907,-64.999902
2.700000,-64.999903,-64.999906,-64.999901
2.750000,-64.999902,-64.999905,-64.999900
2.800000,-64.999900,-64.999903,-64.999898
2.850000,-64.999899,-64.999902,-64.999897
2.900000,-64.999898,-64.999901,-64.999896
2.950000,-64.999897,-64.999900,-64.999895
3.000000,-64.999895,-64.999899,-64.999893
3.050000,-64.999894,-64.999897,-64.999892
3.100000,-64.999893,-64.999896,-64.999891
3.150000,-64.999892,-64.999895,-64.999890
3.200000,-64.999891,-64.999894,-64.999889
3.250000,-64.999890,-64.999893,-64.999888
3.300000,-64.999888,-64.999891,-64.999886
3.350000,-64.999887,-64.999890,-64.999885
3.400000,-64.999886,-64.999889,-64.999884
3.450000,-64.999885,-64.999888,-64.999883
3.500000,-64.999884,-64.999887,-64.999882
3.550000,-64.999883,-64.999886,-64.999881
3.600000,-64.999882,-64.999885,-64.999880
3.650000,-64.999880,-64.999883,-64.999878
3.700000,-64.999879,-64.999882,-64.999877
3.750000,-64.999878,-64.999881,-64.999876
3.800000,-64.999877,-64.999880,-64.999875
3.850000,-64.999876,-64.999879,-64.999874
3.900000,-64.999875,-64.999878,-64.999873
3.950000,-64.999874,-64.999877,-64.999872
4.000000,-64.999873,-64.999876,-64.999871
4.050000,-64.999872,-64.999875,-64.999870
4.100000,-64.999870,-64.999874,-64.999868
4.150000,-64.999869,-64.999872,-64.999867
4.200000,-64.999868,-64.999871,-64.999866
4.250000,-64.999867,-64.999870,-64.999865
4.300000,-64.999866,-64.999869,-64.999864
4.350000,-64.999865,-64.999868,-64.999863
4.400000,-64.999864,-64.999867,-64.999862
4.450000,-64.999863,-64.999866,-64.999861
4.500000,-64.999862,-64.999865,-64.999860
4.550000,-64.999861,-64.999864,-64.999859
4.600000,-64.999860,-64.999863,-64.999858
4.650000,-64.999859,-64.999862,-64.999857
4.700000,-64.999858,-64.999861,-64.999856
4.750000,-64.999857,-64.999860,-64.999855
4.800000,-64.999856,-64.999859,-64.999854
4.850000,-64.999855,-64.999858,-64.999853
4.900000,-64.999854,-64.999857,-64.999852
4.950000,-64.999853,-64.999856,-64.999851
5.000000,-64.999851,-64.999855,-64.999850
5.050000,-64.999850,-64.999854,-64.999849
5.100000,-64.999849,-64.999853,-64.999848
5.150000,-64.999848,-64.999852,-64.999846
5.200000,-64.999847,-64.999851,-64.999845
5.250000,-64.999846,-64.999850,-64.999844
5.300000,-64.999845,-64.999849,-64.999843
5.350000,-64.999844,-64.999848,-64.999842
5.400000,-64.999843,-64.999847,-64.999841
5.450000,-64.999842,-64.999846,-64.999840
5.500000,-64.999841,-64.999845,-64.999839
5.550000,-64.999840,-64.999844,-64.999838
5.600000,-64.999839,-64.999843,-64.999838
5.650000,-64.999838,-64.999842,-64.999837
5.700000,-64.999837,-64.999841,-64.999836
5.750000,-64.999836,-64.999840,-64.999835
5.800000,-64.999836,-64.999839,-64.999834
5.850000,-64.999835,-64.999838,-64.999833
5.900000,-64.999834,-64.999837,-64.999832
5.950000,-64.999833,-64.999836,-64.999831
