time_ms,v_soma_mV,v_proximal_dendrite_mV,v_proximal_axon_candidate_mV
0.000000,-65.000000,-65.000000,-65.000000
0.050000,-65.010009,-65.007241,-65.011520
0.100000,-65.017458,-65.013746,-65.018800
0.150000,-65.023725,-65.019549,-65.024978
0.200000,-65.029311,-65.024853,-65.030512
0.250000,-65.034441,-65.029792,-65.035608
0.300000,-65.039242,-65.034449,-65.040383
0.350000,-65.043788,-65.038883,-65.044910
0.400000,-65.048131,-65.043133,-65.049237
0.450000,-65.052306,-65.047230,-65.053399
0.500000,-65.056339,-65.051197,-65.057420
0.550000,-65.060249,-65.055049,-65.061319
0.600000,-65.064051,-65.058801,-65.065112
0.650000,-65.067758,-65.062464,-65.068810
0.700000,-65.071378,-65.066045,-65.072423
0.750000,-65.074920,-65.069553,-65.075958
0.800000,-65.078391,-65.072993,-65.079422
0.850000,-65.081797,-65.076371,-65.082821
0.900000,-65.085141,-65.079691,-65.086160
0.950000,-65.088430,-65.082956,-65.089443
1.000000,-65.091665,-65.086171,-65.092673
1.050000,-65.094851,-65.089338,-65.095853
1.100000,-65.097991,-65.092461,-65.098988
1.150000,-65.101086,-65.095541,-65.102079
1.200000,-65.104140,-65.098580,-65.105128
1.250000,-65.107155,-65.101582,-65.108138
1.300000,-65.110132,-65.104547,-65.111111
1.350000,-65.113074,-65.107477,-65.114048
1.400000,-65.115981,-65.110373,-65.116951
1.450000,-65.118856,-65.113238,-65.119822
1.500000,-65.121699,-65.116072,-65.122662
1.550000,-65.124512,-65.118877,-65.125471
1.600000,-65.127297,-65.121653,-65.128252
1.650000,-65.130054,-65.124402,-65.131006
1.700000,-65.132784,-65.127125,-65.133732
1.750000,-65.135488,-65.129823,-65.136433
1.800000,-65.138168,-65.132495,-65.139109
1.850000,-65.140823,-65.135144,-65.141761
1.900000,-65.143455,-65.137770,-65.144390
1.950000,-65.146065,-65.140374,-65.146996
2.000000,-65.148653,-65.142956,-65.149581
2.050000,-65.151219,-65.145517,-65.152144
2.100000,-65.153765,-65.148058,-65.154687
2.150000,-65.156291,-65.150579,-65.157210
2.200000,-65.158798,-65.153081,-65.159714
2.250000,-65.161285,-65.155564,-65.162199
2.300000,-65.163754,-65.158029,-65.164665
2.350000,-65.166206,-65.160476,-65.167114
2.400000,-65.168640,-65.162906,-65.169545
2.450000,-65.171057,-65.165319,-65.171959
2.500000,-65.173457,-65.167715,-65.174357
2.550000,-65.175842,-65.170096,-65.176739
2.600000,-65.178210,-65.172460,-65.179105
2.650000,-65.180563,-65.174810,-65.181455
2.700000,-65.182901,-65.177144,-65.183791
2.750000,-65.185225,-65.179464,-65.186112
2.800000,-65.187534,-65.181770,-65.188418
2.850000,-65.189829,-65.184061,-65.190711
2.900000,-65.192110,-65.186339,-65.192990
2.950000,-65.194378,-65.188604,-65.195255
3.000000,-65.196632,-65.190855,-65.197507
3.050000,-65.198874,-65.193094,-65.199747
3.100000,-65.201103,-65.195320,-65.201973
3.150000,-65.203319,-65.197534,-65.204188
3.200000,-65.205524,-65.199736,-65.206390
3.250000,-65.207716,-65.201925,-65.208581
3.300000,-65.209897,-65.204104,-65.210759
3.350000,-65.212067,-65.206270,-65.212927
3.400000,-65.214225,-65.208426,-65.215083
3.450000,-65.216372,-65.210571,-65.217228
3.500000,-65.218508,-65.212705,-65.219362
3.550000,-65.220634,-65.214828,-65.221486
3.600000,-65.222749,-65.216941,-65.223599
3.650000,-65.224854,-65.219043,-65.225702
3.700000,-65.226949,-65.221136,-65.227794
3.750000,-65.229034,-65.223219,-65.229877
3.800000,-65.231109,-65.225292,-65.231950
3.850000,-65.233174,-65.227355,-65.234014
3.900000,-65.235230,-65.229409,-65.236068
3.950000,-65.237277,-65.231454,-65.238113
4.000000,-65.239314,-65.233489,-65.240148
4.050000,-65.241343,-65.235516,-65.242175
4.100000,-65.243362,-65.237534,-65.244193
4.150000,-65.245373,-65.239543,-65.246202
4.200000,-65.247375,-65.241544,-65.248202
4.250000,-65.249369,-65.243536,-65.250194
4.300000,-65.251354,-65.245519,-65.252178
4.350000,-65.253331,-65.247495,-65.254153
4.400000,-65.255300,-65.249463,-65.256120
4.450000,-65.257261,-65.251422,-65.258079
4.500000,-65.259214,-65.253374,-65.260031
4.550000,-65.261159,-65.255317,-65.261974
4.600000,-65.263097,-65.257254,-65.263910
4.650000,-65.265026,-65.259182,-65.265838
4.700000,-65.266949,-65.261103,-65.267759
4.750000,-65.268864,-65.263017,-65.269672
4.800000,-65.270771,-65.264924,-65.271578
4.850000,-65.272672,-65.266823,-65.273477
4.900000,-65.274565,-65.268715,-65.275369
4.950000,-65.276451,-65.270601,-65.277253
5.000000,-65.278330,-65.272479,-65.279131
5.050000,-65.280202,-65.274350,-65.281002
5.100000,-65.282068,-65.276215,-65.282865
5.150000,-65.283927,-65.278073,-65.284723
5.200000,-65.285779,-65.279924,-65.286573
5.250000,-65.287624,-65.281769,-65.288417
5.300000,-65.289463,-65.283607,-65.290255
5.350000,-65.291296,-65.285439,-65.292086
5.400000,-65.293122,-65.287265,-65.293911
5.450000,-65.294942,-65.289084,-65.295729
5.500000,-65.296755,-65.290898,-65.297541
5.550000,-65.298563,-65.292705,-65.299347
5.600000,-65.300364,-65.294505,-65.301147
5.650000,-65.302160,-65.296300,-65.302941
5.700000,-65.303949,-65.298089,-65.304729
5.750000,-65.305732,-65.299872,-65.306511
5.800000,-65.307510,-65.301650,-65.308287
5.850000,-65.309281,-65.303421,-65.310057
5.900000,-65.311047,-65.305187,-65.311822
5.950000,-65.312808,-65.306947,-65.313581
6.000000,-65.314562,-65.308701,-65.315334
6.050000,-65.316311,-65.310450,-65.317082
6.100000,-65.318055,-65.312194,-65.318824
6.150000,-65.319792,-65.313932,-65.320560
6.200000,-65.321525,-65.315664,-65.322292
6.250000,-65.323252,-65.317391,-65.324017
6.300000,-65.324974,-65.319113,-65.325738
6.350000,-65.326690,-65.320829,-65.327453
6.400000,-65.328401,-65.322540,-65.329163
6.450000,-65.330107,-65.324246,-65.330867
6.500000,-65.331807,-65.325947,-65.332566
6.550000,-65.333503,-65.327643,-65.334261
6.600000,-65.335193,-65.329334,-65.335950
6.650000,-65.336879,-65.331019,-65.337634
6.700000,-65.338559,-65.332700,-65.339313
6.750000,-65.340234,-65.334375,-65.340987
6.800000,-65.341904,-65.336046,-65.342656
6.850000,-65.343570,-65.337712,-65.344320
6.900000,-65.345230,-65.339373,-65.345980
6.950000,-65.346886,-65.341029,-65.347634
7.000000,-65.348537,-65.342680,-65.349284
7.050000,-65.350183,-65.344327,-65.350929
7.100000,-65.351825,-65.345969,-65.352569
7.150000,-65.353461,-65.347606,-65.354205
7.200000,-65.355093,-65.349239,-65.355836
7.250000,-65.356721,-65.350867,-65.357462
7.300000,-65.358343,-65.352490,-65.359083
7.350000,-65.359961,-65.354109,-65.360701
7.400000,-65.361575,-65.355723,-65.362313
7.450000,-65.363184,-65.357333,-65.363921
7.500000,-65.364789,-65.358938,-65.365524
7.550000,-65.366389,-65.360539,-65.367124
7.600000,-65.367985,-65.362136,-65.368718
7.650000,-65.369576,-65.363728,-65.370308
7.700000,-65.371163,-65.365315,-65.371894
7.750000,-65.372745,-65.366899,-65.373476
7.800000,-65.374324,-65.368478,-65.375053
7.850000,-65.375898,-65.370053,-65.376626
7.900000,-65.377467,-65.371623,-65.378194
7.950000,-65.379033,-65.373190,-65.379759
8.000000,-65.380594,-65.374752,-65.381319
8.050000,-65.382151,-65.376310,-65.382875
8.100000,-65.383704,-65.377864,-65.384427
8.150000,-65.385252,-65.379413,-65.385974
8.200000,-65.386797,-65.380959,-65.387518
8.250000,-65.388337,-65.382500,-65.389057
8.300000,-65.389874,-65.384038,-65.390593
8.350000,-65.391406,-65.385571,-65.392124
8.400000,-65.392934,-65.387100,-65.393651
8.450000,-65.394459,-65.388626,-65.395174
8.500000,-65.395979,-65.390147,-65.396694
8.550000,-65.397495,-65.391664,-65.398209
8.600000,-65.399007,-65.393178,-65.399720
8.650000,-65.400516,-65.394687,-65.401228
8.700000,-65.402020,-65.396193,-65.402731
8.750000,-65.403521,-65.397695,-65.404231
8.800000,-65.405018,-65.399192,-65.405727
8.850000,-65.406511,-65.400687,-65.407219
8.900000,-65.408000,-65.402177,-65.408707
8.950000,-65.409485,-65.403663,-65.410191
9.000000,-65.410966,-65.405146,-65.411671
9.050000,-65.412444,-65.406625,-65.413148
9.100000,-65.413918,-65.408100,-65.414621
9.150000,-65.415388,-65.409571,-65.416090
9.200000,-65.416854,-65.411039,-65.417556
9.250000,-65.418317,-65.412503,-65.419017
9.300000,-65.419776,-65.413963,-65.420476
9.350000,-65.421231,-65.415420,-65.421930
