time_ms,v_soma_mV,v_proximal_dendrite_mV,v_proximal_axon_candidate_mV
0.000000,-65.000000,-65.000000,-65.000000
0.025000,-65.026279,-65.018423,-65.005992
0.050000,-65.045375,-65.035251,-65.018970
0.075000,-65.061281,-65.050151,-65.032538
0.100000,-65.075378,-65.063665,-65.045559
0.125000,-65.088278,-65.076172,-65.057899
0.150000,-65.100309,-65.087917,-65.069611
0.175000,-65.111669,-65.099061,-65.080779
0.200000,-65.122492,-65.109715,-65.091482
0.225000,-65.132870,-65.119961,-65.101783
0.250000,-65.142875,-65.129859,-65.111736
0.275000,-65.152557,-65.139456,-65.121385
0.300000,-65.161958,-65.148790,-65.130764
0.325000,-65.171111,-65.157890,-65.139904
0.350000,-65.180042,-65.166781,-65.148829
0.375000,-65.188773,-65.175482,-65.157558
0.400000,-65.197323,-65.184010,-65.166109
0.425000,-65.205707,-65.192380,-65.174497
0.450000,-65.213937,-65.200604,-65.182733
0.475000,-65.222026,-65.208691,-65.190830
0.500000,-65.229983,-65.216652,-65.198796
0.525000,-65.237817,-65.224494,-65.206640
0.550000,-65.245535,-65.232225,-65.214369
0.575000,-65.253145,-65.239850,-65.221990
0.600000,-65.260651,-65.247375,-65.229508
0.625000,-65.268059,-65.254805,-65.236929
0.650000,-65.275375,-65.262145,-65.244257
0.675000,-65.282603,-65.269399,-65.251498
0.700000,-65.289746,-65.276570,-65.258654
0.725000,-65.296809,-65.283663,-65.265729
0.750000,-65.303794,-65.290679,-65.272727
0.775000,-65.310705,-65.297623,-65.279651
0.800000,-65.317545,-65.304497,-65.286504
0.825000,-65.324316,-65.311302,-65.293287
0.850000,-65.331020,-65.318043,-65.300005
0.875000,-65.337661,-65.324720,-65.306658
0.900000,-65.344240,-65.331337,-65.313250
0.925000,-65.350760,-65.337893,-65.319781
0.950000,-65.357221,-65.344393,-65.326255
0.975000,-65.363626,-65.350837,-65.332672
1.000000,-65.369977,-65.357226,-65.339034
1.025000,-65.376275,-65.363563,-65.345344
1.050000,-65.382521,-65.369849,-65.351602
1.075000,-65.388718,-65.376085,-65.357809
1.100000,-65.394865,-65.382272,-65.363968
1.125000,-65.400965,-65.388411,-65.370079
1.150000,-65.407019,-65.394505,-65.376144
1.175000,-65.413028,-65.400553,-65.382163
1.200000,-65.418993,-65.406557,-65.388138
1.225000,-65.424914,-65.412517,-65.394070
1.250000,-65.430794,-65.418436,-65.399960
1.275000,-65.436632,-65.424313,-65.405808
1.300000,-65.442431,-65.430150,-65.411616
1.325000,-65.448189,-65.435948,-65.417384
1.350000,-65.453910,-65.441706,-65.423114
1.375000,-65.459592,-65.447427,-65.428806
1.400000,-65.465238,-65.453110,-65.434461
1.425000,-65.470847,-65.458757,-65.440079
1.450000,-65.476420,-65.464368,-65.445662
1.475000,-65.481959,-65.469943,-65.451209
1.500000,-65.487463,-65.475484,-65.456723
1.525000,-65.492934,-65.480991,-65.462202
1.550000,-65.498371,-65.486465,-65.467648
1.575000,-65.503777,-65.491906,-65.473062
1.600000,-65.509150,-65.497315,-65.478443
1.625000,-65.514491,-65.502692,-65.483794
1.650000,-65.519802,-65.508037,-65.489113
1.675000,-65.525083,-65.513352,-65.494401
1.700000,-65.530333,-65.518637,-65.499660
1.725000,-65.535555,-65.523892,-65.504889
1.750000,-65.540747,-65.529118,-65.510090
1.775000,-65.545910,-65.534315,-65.515261
1.800000,-65.551046,-65.539484,-65.520405
1.825000,-65.556154,-65.544624,-65.525520
1.850000,-65.561235,-65.549737,-65.530609
1.875000,-65.566288,-65.554823,-65.535670
1.900000,-65.571316,-65.559882,-65.540705
1.925000,-65.576317,-65.564915,-65.545714
1.950000,-65.581292,-65.569921,-65.550697
1.975000,-65.586242,-65.574902,-65.555654
2.000000,-65.591167,-65.579857,-65.560587
2.025000,-65.596067,-65.584788,-65.565495
2.050000,-65.600943,-65.589693,-65.570378
2.075000,-65.605795,-65.594574,-65.575237
2.100000,-65.610623,-65.599432,-65.580072
2.125000,-65.615427,-65.604265,-65.584884
2.150000,-65.620208,-65.609075,-65.589672
2.175000,-65.624966,-65.613862,-65.594438
2.200000,-65.629702,-65.618625,-65.599181
2.225000,-65.634415,-65.623366,-65.603901
2.250000,-65.639106,-65.628085,-65.608600
2.275000,-65.643776,-65.632782,-65.613276
2.300000,-65.648424,-65.637457,-65.617931
2.325000,-65.653050,-65.642110,-65.622565
2.350000,-65.657655,-65.646742,-65.627177
2.375000,-65.662240,-65.651353,-65.631769
2.400000,-65.666804,-65.655943,-65.636340
2.425000,-65.671347,-65.660512,-65.640891
2.450000,-65.675871,-65.665061,-65.645421
2.475000,-65.680374,-65.669590,-65.649932
2.500000,-65.684858,-65.674099,-65.654423
2.525000,-65.689322,-65.678588,-65.658894
2.550000,-65.693767,-65.683057,-65.663346
2.575000,-65.698193,-65.687507,-65.667779
2.600000,-65.702599,-65.691938,-65.672193
2.625000,-65.706987,-65.696350,-65.676588
2.650000,-65.711357,-65.700743,-65.680965
2.675000,-65.715708,-65.705118,-65.685323
2.700000,-65.720041,-65.709474,-65.689663
2.725000,-65.724356,-65.713813,-65.693985
2.750000,-65.728653,-65.718133,-65.698289
2.775000,-65.732933,-65.722435,-65.702576
2.800000,-65.737195,-65.726720,-65.706845
2.825000,-65.741440,-65.730987,-65.711097
2.850000,-65.745667,-65.735236,-65.715332
2.875000,-65.749878,-65.739469,-65.719550
2.900000,-65.754072,-65.743685,-65.723751
2.925000,-65.758249,-65.747883,-65.727935
2.950000,-65.762410,-65.752065,-65.732103
2.975000,-65.766554,-65.756231,-65.736254
3.000000,-65.770682,-65.760380,-65.740389
3.025000,-65.774794,-65.764513,-65.744508
3.050000,-65.778890,-65.768629,-65.748611
3.075000,-65.782970,-65.772730,-65.752699
3.100000,-65.787034,-65.776815,-65.756770
3.125000,-65.791083,-65.780884,-65.760827
3.150000,-65.795117,-65.784937,-65.764867
3.175000,-65.799135,-65.788976,-65.768893
3.200000,-65.803138,-65.792998,-65.772903
3.225000,-65.807126,-65.797006,-65.776898
3.250000,-65.811099,-65.800999,-65.780879
3.275000,-65.815058,-65.804976,-65.784844
3.300000,-65.819001,-65.808939,-65.788795
3.325000,-65.822930,-65.812888,-65.792732
3.350000,-65.826845,-65.816821,-65.796654
3.375000,-65.830746,-65.820740,-65.800562
3.400000,-65.834632,-65.824645,-65.804455
3.425000,-65.838504,-65.828536,-65.808335
3.450000,-65.842362,-65.832412,-65.812200
3.475000,-65.846206,-65.836275,-65.816052
3.500000,-65.850037,-65.840123,-65.819890
3.525000,-65.853854,-65.843958,-65.823714
3.550000,-65.857657,-65.847779,-65.827524
3.575000,-65.861447,-65.851587,-65.831322
3.600000,-65.865223,-65.855381,-65.835106
3.625000,-65.868986,-65.859162,-65.838876
3.650000,-65.872736,-65.862929,-65.842634
3.675000,-65.876473,-65.866683,-65.846378
3.700000,-65.880197,-65.870424,-65.850109
3.725000,-65.883908,-65.874152,-65.853828
3.750000,-65.887606,-65.877868,-65.857534
3.775000,-65.891292,-65.881570,-65.861227
3.800000,-65.894965,-65.885260,-65.864907
3.825000,-65.898625,-65.888937,-65.868575
3.850000,-65.902273,-65.892601,-65.872230
3.875000,-65.905909,-65.896253,-65.875874
3.900000,-65.909532,-65.899893,-65.879504
3.925000,-65.913143,-65.903520,-65.883123
3.950000,-65.916742,-65.907135,-65.886730
3.975000,-65.920329,-65.910738,-65.890324
4.000000,-65.923904,-65.914329,-65.893907
4.025000,-65.927467,-65.917908,-65.897478
4.050000,-65.931018,-65.921475,-65.901036
4.075000,-65.934558,-65.925030,-65.904584
4.100000,-65.938086,-65.928574,-65.908119
4.125000,-65.941602,-65.932105,-65.911643
4.150000,-65.945107,-65.935626,-65.915156
4.175000,-65.948601,-65.939134,-65.918657
4.200000,-65.952083,-65.942631,-65.922147
4.225000,-65.955553,-65.946117,-65.925625
4.250000,-65.959013,-65.949592,-65.929092
4.275000,-65.962461,-65.953055,-65.932549
4.300000,-65.965899,-65.956507,-65.935994
4.325000,-65.969325,-65.959948,-65.939428
4.350000,-65.972740,-65.963378,-65.942851
4.375000,-65.976145,-65.966798,-65.946263
4.400000,-65.979538,-65.970206,-65.949664
4.425000,-65.982921,-65.973603,-65.953055
4.450000,-65.986293,-65.976990,-65.956435
4.475000,-65.989655,-65.980365,-65.959804
4.500000,-65.993006,-65.983731,-65.963163
4.525000,-65.996346,-65.987085,-65.966511
4.550000,-65.999676,-65.990429,-65.969849
4.575000,-66.002996,-65.993763,-65.973177
4.600000,-66.006305,-65.997086,-65.976494
4.625000,-66.009604,-66.000399,-65.979801
4.650000,-66.012892,-66.003701,-65.983097
4.675000,-66.016171,-66.006994,-65.986384
4.700000,-66.019439,-66.010276,-65.989660
4.725000,-66.022697,-66.013548,-65.992926
4.750000,-66.025946,-66.016810,-65.996183
4.775000,-66.029184,-66.020061,-65.999429
4.800000,-66.032412,-66.023303,-66.002665
4.825000,-66.035631,-66.026535,-66.005892
4.850000,-66.038839,-66.029757,-66.009108
4.875000,-66.042038,-66.032969,-66.012315
4.900000,-66.045227,-66.036171,-66.015511
4.925000,-66.048406,-66.039364,-66.018698
4.950000,-66.051576,-66.042546,-66.021876
4.975000,-66.054736,-66.045719,-66.025043
5.000000,-66.057886,-66.048883,-66.028201
5.025000,-66.061027,-66.052037,-66.031350
5.050000,-66.064159,-66.055181,-66.034489
5.075000,-66.067281,-66.058316,-66.037618
5.100000,-66.070393,-66.061441,-66.040738
5.125000,-66.073497,-66.064557,-66.043849
5.150000,-66.076591,-66.067664,-66.046950
5.175000,-66.079675,-66.070761,-66.050042
5.200000,-66.082751,-66.073850,-66.053125
5.225000,-66.085817,-66.076928,-66.056198
5.250000,-66.088874,-66.079998,-66.059263
5.275000,-66.091923,-66.083059,-66.062318
5.300000,-66.094962,-66.086110,-66.065365
5.325000,-66.097992,-66.089153,-66.068402
5.350000,-66.101013,-66.092186,-66.071431
5.375000,-66.104025,-66.095211,-66.074450
5.400000,-66.107029,-66.098226,-66.077461
5.425000,-66.110023,-66.101233,-66.080463
5.450000,-66.113009,-66.104231,-66.083456
5.475000,-66.115986,-66.107220,-66.086440
5.500000,-66.118955,-66.110201,-66.089416
5.525000,-66.121915,-66.113172,-66.092383
5.550000,-66.124866,-66.116136,-66.095341
5.575000,-66.127809,-66.119090,-66.098291
5.600000,-66.130743,-66.122036,-66.101232
5.625000,-66.133668,-66.124973,-66.104165
5.650000,-66.136585,-66.127902,-66.107089
5.675000,-66.139494,-66.130822,-66.110005
5.700000,-66.142394,-66.133734,-66.112913
5.725000,-66.145286,-66.136638,-66.115812
5.750000,-66.148170,-66.139533,-66.118703
5.775000,-66.151046,-66.142420,-66.121586
5.800000,-66.153913,-66.145299,-66.124460
5.825000,-66.156772,-66.148169,-66.127327
5.850000,-66.159623,-66.151031,-66.130185
5.875000,-66.162465,-66.153885,-66.133035
5.900000,-66.165300,-66.156731,-66.135877
5.925000,-66.168127,-66.159569,-66.138711
5.950000,-66.170945,-66.162399,-66.141537
5.975000,-66.173756,-66.165221,-66.144355
6.000000,-66.176558,-66.168034,-66.147165
6.025000,-66.179353,-66.170840,-66.149967
6.050000,-66.182140,-66.173638,-66.152761
6.075000,-66.184919,-66.176428,-66.155547
6.100000,-66.187690,-66.179210,-66.158326
6.125000,-66.190453,-66.181984,-66.161096
6.150000,-66.193209,-66.184751,-66.163859
6.175000,-66.195957,-66.187510,-66.166615
6.200000,-66.198697,-66.190261,-66.169362
6.225000,-66.201430,-66.193004,-66.172102
6.250000,-66.204155,-66.195740,-66.174835
6.275000,-66.206872,-66.198468,-66.177559
6.300000,-66.209582,-66.201188,-66.180277
6.325000,-66.212284,-66.203901,-66.182986
6.350000,-66.214979,-66.206606,-66.185688
6.375000,-66.217666,-66.209304,-66.188383
6.400000,-66.220346,-66.211994,-66.191070
6.425000,-66.223018,-66.214677,-66.193750
6.450000,-66.225683,-66.217352,-66.196423
6.475000,-66.228341,-66.220020,-66.199088
6.500000,-66.230991,-66.222681,-66.201746
6.525000,-66.233634,-66.225334,-66.204396
6.550000,-66.236270,-66.227980,-66.207039
6.575000,-66.238898,-66.230619,-66.209675
6.600000,-66.241520,-66.233251,-66.212304
