time_ms,v_soma_mV,v_proximal_dendrite_mV,v_proximal_axon_candidate_mV
0.000000,-65.000000,-65.000000,-65.000000
0.050000,-65.009100,-65.006584,-65.010474
0.100000,-65.015874,-65.012498,-65.017094
0.150000,-65.021574,-65.017775,-65.022713
0.200000,-65.026654,-65.022600,-65.027746
0.250000,-65.031321,-65.027092,-65.032382
0.300000,-65.035688,-65.031329,-65.036726
0.350000,-65.039825,-65.035362,-65.040845
0.400000,-65.043776,-65.039229,-65.044782
0.450000,-65.047576,-65.042958,-65.048569
0.500000,-65.051246,-65.046567,-65.052228
0.550000,-65.054805,-65.050074,-65.055778
0.600000,-65.058266,-65.053489,-65.059230
0.650000,-65.061640,-65.056823,-65.062597
0.700000,-65.064936,-65.060083,-65.065886
0.750000,-65.068161,-65.063276,-65.069105
0.800000,-65.071322,-65.066409,-65.072259
0.850000,-65.074423,-65.069484,-65.075354
0.900000,-65.077469,-65.072507,-65.078395
0.950000,-65.080464,-65.075481,-65.081385
1.000000,-65.083411,-65.078410,-65.084327
1.050000,-65.086314,-65.081295,-65.087225
1.100000,-65.089174,-65.084139,-65.090081
1.150000,-65.091995,-65.086945,-65.092897
1.200000,-65.094778,-65.089715,-65.095676
1.250000,-65.097525,-65.092450,-65.098419
1.300000,-65.100238,-65.095151,-65.101128
1.350000,-65.102919,-65.097822,-65.103805
1.400000,-65.105569,-65.100462,-65.106452
1.450000,-65.108190,-65.103073,-65.109069
1.500000,-65.110783,-65.105657,-65.111658
1.550000,-65.113348,-65.108214,-65.114220
1.600000,-65.115887,-65.110745,-65.116755
1.650000,-65.118401,-65.113252,-65.119266
1.700000,-65.120891,-65.115735,-65.121753
1.750000,-65.123358,-65.118195,-65.124216
1.800000,-65.125802,-65.120632,-65.126658
1.850000,-65.128224,-65.123049,-65.129077
1.900000,-65.130626,-65.125444,-65.131475
1.950000,-65.133007,-65.127820,-65.133853
2.000000,-65.135368,-65.130176,-65.136212
2.050000,-65.137710,-65.132512,-65.138551
2.100000,-65.140033,-65.134831,-65.140872
2.150000,-65.142339,-65.137132,-65.143175
2.200000,-65.144627,-65.139415,-65.145460
2.250000,-65.146898,-65.141681,-65.147729
2.300000,-65.149152,-65.143931,-65.149980
2.350000,-65.151390,-65.146165,-65.152216
2.400000,-65.153613,-65.148384,-65.154436
2.450000,-65.155820,-65.150587,-65.156641
2.500000,-65.158012,-65.152775,-65.158831
2.550000,-65.160190,-65.154949,-65.161006
2.600000,-65.162353,-65.157109,-65.163167
