time_ms,gid,population
0.328261784240984,34,unknown
0.6657593345578304,0,unknown
0.774406349217848,170,unknown
0.774406349217848,90,unknown
1.0072114291029175,9,unknown
1.107787958352043,7,unknown
1.1352492967853023,63,unknown
1.1352492967853023,143,unknown
2.1824358287016175,10,unknown
2.8823011085929666,35,unknown
2.9739791704790477,10,unknown
3.0767838292223506,17,unknown
3.267075888281684,72,unknown
3.267075888281684,152,unknown
3.6000000001000174,225,unknown
3.650000000100018,217,unknown
3.650000000100018,232,unknown
3.8250000001000206,204,unknown
4.175000000100026,221,unknown
4.175000000100026,233,unknown
4.300000000100027,226,unknown
4.350000000100028,231,unknown
4.600000000100032,208,unknown
4.600000000100032,214,unknown
4.650000000100032,203,unknown
5.025000000100038,207,unknown
5.150000000100039,212,unknown
5.175780912190281,118,unknown
5.175780912190281,198,unknown
5.20000000010004,206,unknown
5.20000000010004,223,unknown
5.20000000010004,262,unknown
5.2250000001000405,210,unknown
5.2250000001000405,271,unknown
5.250000000100041,211,unknown
5.250000000100041,268,unknown
5.250000000100041,270,unknown
5.250000000100041,273,unknown
5.325000000100042,209,unknown
5.325000000100042,213,unknown
5.325000000100042,227,unknown
5.625000000100046,215,unknown
5.625000000100046,229,unknown
5.687957374585773,7,unknown
5.700000000100047,222,unknown
5.775000000100048,218,unknown
5.775000000100048,251,unknown
5.775000000100048,254,unknown
5.775000000100048,256,unknown
5.775000000100048,265,unknown
5.775000000100048,269,unknown
5.950000000100051,249,unknown
5.950000000100051,257,unknown
5.950000000100051,261,unknown
5.950000000100051,266,unknown
5.950000000100051,277,unknown
6.031113103763495,17,unknown
6.050000000100052,323,unknown
6.050000000100052,335,unknown
6.075000000100053,234,unknown
6.225000000100055,237,unknown
6.37370298266921,86,unknown
6.37370298266921,166,unknown
6.725000000100062,343,unknown
6.7750000001000625,312,unknown
6.825000000100063,247,unknown
6.950000000100065,330,unknown
6.950000000100065,337,unknown
7.008291131106253,59,unknown
7.008291131106253,139,unknown
7.050000000100066,336,unknown
7.100000000100067,305,unknown
7.27500000010007,317,unknown
7.27500000010007,325,unknown
7.350000000100071,238,unknown
7.375000000100071,244,unknown
7.5500000001000735,224,unknown
7.5500000001000735,230,unknown
7.575000000100074,201,unknown
7.675000000100075,248,unknown
7.800000000100077,235,unknown
7.800000000100077,241,unknown
7.800000000100077,243,unknown
7.8250000001000775,286,unknown
7.950000000100079,285,unknown
8.100000000100074,294,unknown
8.100000000100074,342,unknown
8.100000000100074,345,unknown
8.150000000100071,303,unknown
8.150000000100071,322,unknown
8.200000000100069,381,unknown
8.215016158133377,3,unknown
8.219314694439706,100,unknown
8.219314694439706,180,unknown
8.295521943226067,15,unknown
8.325000000100061,360,unknown
8.35000000010006,283,unknown
8.362613125866472,17,unknown
8.375000000100059,281,unknown
8.376340396290537,12,unknown
8.52500000010005,297,unknown
8.52500000010005,307,unknown
8.52500000010005,313,unknown
8.52500000010005,314,unknown
8.52500000010005,331,unknown
8.52500000010005,346,unknown
8.600000000100046,291,unknown
8.600000000100046,292,unknown
8.600000000100046,298,unknown
8.600000000100046,308,unknown
8.600000000100046,329,unknown
8.600000000100046,340,unknown
8.625000000100044,289,unknown
8.625000000100044,311,unknown
8.625000000100044,324,unknown
8.625000000100044,327,unknown
8.625000000100044,338,unknown
8.925000000100027,353,unknown
9.102956601431421,17,unknown
9.300000000100006,259,unknown
9.325000000100005,255,unknown
9.350000000100003,250,unknown
9.375000000100002,275,unknown
9.500000000099995,274,unknown
9.525000000099993,288,unknown
9.550000000099992,272,unknown
9.725000000099982,367,unknown
9.800000000099978,263,unknown
10.27500000009995,220,unknown
10.309084657111677,2,unknown
10.525000000099936,302,unknown
10.525000000099936,310,unknown
10.525000000099936,318,unknown
10.525000000099936,321,unknown
10.525000000099936,332,unknown
10.525000000099936,333,unknown
11.439090569318516,19,unknown
11.575000000099877,287,unknown
11.650000000099872,280,unknown
11.70000000009987,282,unknown
11.750000000099867,284,unknown
12.695200216945999,15,unknown
13.262810488319326,70,unknown
13.262810488319326,150,unknown
13.325000000099777,328,unknown
13.346946025145293,5,unknown
13.350000000099776,306,unknown
13.513795430933076,3,unknown
13.575000000099763,347,unknown
13.600000000099762,319,unknown
13.650000000099759,301,unknown
13.650000000099759,326,unknown
13.650000000099759,339,unknown
13.725000000099755,309,unknown
13.775000000099752,334,unknown
13.866818371522237,2,unknown
14.000000000099739,299,unknown
14.000000000099739,315,unknown
14.576195320657314,6,unknown
15.300000000099665,341,unknown
15.63617944965752,196,unknown
15.63617944965752,116,unknown
15.636196174822047,62,unknown
15.636196174822047,142,unknown
15.975000000099627,300,unknown
16.000000000099625,293,unknown
16.125000000099618,236,unknown
16.25000000009961,279,unknown
17.00000000009957,320,unknown
17.15000000009956,344,unknown
17.280691325898502,15,unknown
17.725000000099527,290,unknown
17.975000000099513,239,unknown
17.975000000099513,242,unknown
17.975000000099513,246,unknown
18.150000000099503,295,unknown
18.75000000009947,304,unknown
18.830840131316425,3,unknown
19.02499559886089,8,unknown
19.150000000099446,281,unknown
19.325000000099436,316,unknown
19.64583221821348,60,unknown
19.64583221821348,140,unknown
19.875000000099405,296,unknown
21.11465594456625,58,unknown
21.11465594456625,138,unknown
21.675000000099303,395,unknown
22.597773735890502,126,unknown
22.597773735890502,46,unknown
22.781148411676906,20,unknown
22.825000000099237,330,unknown
22.8255268963637,165,unknown
22.8255268963637,85,unknown
22.860444434992907,115,unknown
22.860444434992907,195,unknown
22.871007429022303,118,unknown
22.871007429022303,198,unknown
23.000000000099227,245,unknown
23.082666959675127,11,unknown
23.200000000099216,394,unknown
24.752395353868373,112,unknown
24.752395353868373,192,unknown
24.800000000099125,390,unknown
25.01277323712166,11,unknown
26.025000000099055,387,unknown
26.375000000099035,285,unknown
26.80000000009901,286,unknown
26.81830276589116,15,unknown
26.82500000009901,234,unknown
26.881789466597752,74,unknown
26.881789466597752,154,unknown
27.15000000009899,305,unknown
27.20000000009899,386,unknown
27.52500000009897,314,unknown
27.785421832114334,3,unknown
27.85000000009895,337,unknown
28.000000000098943,335,unknown
28.175000000098933,243,unknown
28.37500000009892,237,unknown
28.37500000009892,289,unknown
28.40000000009892,346,unknown
28.521488009935656,10,unknown
28.60000000009891,312,unknown
28.675000000098905,318,unknown
28.802022091927064,47,unknown
28.802022091927064,127,unknown
28.850000000098895,307,unknown
28.850000000098895,333,unknown
29.175000000098876,244,unknown
29.250000000098872,324,unknown
29.27500000009887,294,unknown
29.27500000009887,329,unknown
29.30000000009887,317,unknown
29.375000000098865,303,unknown
29.575000000098854,322,unknown
29.575000000098854,323,unknown
29.600000000098852,241,unknown
29.675000000098848,343,unknown
29.750000000098844,247,unknown
29.775000000098842,248,unknown
29.775000000098842,298,unknown
29.974449399100255,99,unknown
29.974449399100255,179,unknown
30.17500000009882,292,unknown
30.207189742896983,77,unknown
30.207189742896983,157,unknown
30.32500000009881,297,unknown
30.375000000098808,336,unknown
30.475000000098802,313,unknown
30.925000000098777,332,unknown
31.02500000009877,340,unknown
31.175000000098763,392,unknown
31.25000000009876,310,unknown
31.275000000098757,306,unknown
31.42500000009875,291,unknown
31.450000000098747,326,unknown
31.49776771403149,136,unknown
31.49776771403149,56,unknown
31.553768371188333,136,unknown
31.553768371188333,56,unknown
31.700000000098733,235,unknown
31.790199108797303,14,unknown
31.975000000098717,338,unknown
32.300000000098784,288,unknown
32.3750000000988,302,unknown
33.032798595562966,147,unknown
33.032798595562966,67,unknown
33.30000000009901,331,unknown
33.400000000099034,319,unknown
33.800000000099125,279,unknown
33.95142169767736,4,unknown
34.17500000009921,348,unknown
34.22500000009922,284,unknown
34.325000000099244,347,unknown
34.40000000009926,334,unknown
34.52500000009929,345,unknown
34.550000000099296,311,unknown
34.60000000009931,308,unknown
34.62500000009931,299,unknown
34.70000000009933,315,unknown
34.71064280984751,97,unknown
34.71064280984751,177,unknown
34.75000000009934,339,unknown
34.97500000009939,309,unknown
35.10000000009942,328,unknown
35.15000000009943,327,unknown
35.27500000009946,325,unknown
35.50000000009951,341,unknown
35.600000000099534,342,unknown
35.85000000009959,384,unknown
35.97500000009962,293,unknown
36.11466897425616,19,unknown
36.47619562661932,49,unknown
36.47619562661932,129,unknown
36.575000000099756,344,unknown
36.65000000009977,320,unknown
36.69050842088439,16,unknown
36.72500000009979,304,unknown
36.7750000000998,296,unknown
36.7750000000998,300,unknown
36.925000000099836,301,unknown
36.97500000009985,321,unknown
37.225000000099904,295,unknown
37.625000000099995,316,unknown
37.77500000010003,389,unknown
38.35000000010016,238,unknown
38.40000000010017,393,unknown
38.65186558692503,43,unknown
38.65186558692503,123,unknown
38.824935836221194,9,unknown
39.4527405807528,18,unknown
39.52083477238056,7,unknown
39.57500000010044,231,unknown
40.147878088402585,37,unknown
40.332153382406176,126,unknown
40.332153382406176,46,unknown
40.525000000100654,290,unknown
40.80477565148431,14,unknown
40.925000000100745,242,unknown
40.975000000100756,212,unknown
40.975000000100756,277,unknown
41.02500000010077,246,unknown
41.05000000010077,211,unknown
41.07500000010078,261,unknown
41.150000000100796,226,unknown
41.20000000010081,222,unknown
41.25000000010082,271,unknown
41.325000000100836,210,unknown
41.325000000100836,221,unknown
41.47583800736321,4,unknown
41.49254744634915,28,unknown
41.70000000010092,236,unknown
41.75000000010093,257,unknown
41.75000000010093,266,unknown
41.95000000010098,249,unknown
42.08750914008978,11,unknown
42.17500000010103,330,unknown
42.17500000010103,385,unknown
42.5628571981074,53,unknown
42.5628571981074,133,unknown
42.85000000010118,217,unknown
43.17500000010126,204,unknown
43.41174270961447,140,unknown
43.41174270961447,60,unknown
