time_ms,v_soma_mV,v_proximal_dendrite_mV,v_proximal_axon_candidate_mV
0.000000,-65.000000,-65.000000,-65.000000
0.050000,-65.007784,-65.005632,-65.008959
0.100000,-65.013580,-65.010692,-65.014623
0.150000,-65.018457,-65.015207,-65.019431
0.200000,-65.022806,-65.019337,-65.023740
0.250000,-65.026802,-65.023183,-65.027709
0.300000,-65.030542,-65.026810,-65.031429
0.350000,-65.034085,-65.030264,-65.034957
0.400000,-65.037471,-65.033577,-65.038331
0.450000,-65.040727,-65.036772,-65.041577
0.500000,-65.043873,-65.039866,-65.044714
0.550000,-65.046925,-65.042872,-65.047757
0.600000,-65.049893,-65.045800,-65.050719
0.650000,-65.052788,-65.048660,-65.053607
0.700000,-65.055617,-65.051457,-65.056430
0.750000,-65.058385,-65.054197,-65.059193
0.800000,-65.061099,-65.056886,-65.061902
0.850000,-65.063763,-65.059527,-65.064560
0.900000,-65.066380,-65.062124,-65.067173
0.950000,-65.068954,-65.064679,-65.069743
1.000000,-65.071487,-65.067195,-65.072272
1.050000,-65.073983,-65.069676,-65.074764
1.100000,-65.076444,-65.072122,-65.077221
1.150000,-65.078871,-65.074535,-65.079644
1.200000,-65.081266,-65.076918,-65.082036
1.250000,-65.083631,-65.079272,-65.084398
1.300000,-65.085968,-65.081598,-65.086732
1.350000,-65.088278,-65.083898,-65.089038
1.400000,-65.090562,-65.086172,-65.091319
1.450000,-65.092821,-65.088422,-65.093575
1.500000,-65.095057,-65.090649,-65.095808
1.550000,-65.097270,-65.092854,-65.098018
1.600000,-65.099461,-65.095037,-65.100206
1.650000,-65.101631,-65.097200,-65.102374
1.700000,-65.103781,-65.099343,-65.104521
1.750000,-65.105911,-65.101467,-65.106649
1.800000,-65.108023,-65.103572,-65.108758
1.850000,-65.110116,-65.105660,-65.110849
1.900000,-65.112192,-65.107730,-65.112923
1.950000,-65.114252,-65.109783,-65.114979
2.000000,-65.116294,-65.111820,-65.117020
2.050000,-65.118321,-65.113841,-65.119044
2.100000,-65.120332,-65.115847,-65.121053
2.150000,-65.122329,-65.117839,-65.123048
2.200000,-65.124311,-65.119816,-65.125027
2.250000,-65.126278,-65.121778,-65.126993
2.300000,-65.128232,-65.123727,-65.128945
2.350000,-65.130173,-65.125663,-65.130883
2.400000,-65.132100,-65.127586,-65.132809
2.450000,-65.134015,-65.129497,-65.134721
2.500000,-65.135917,-65.131395,-65.136622
2.550000,-65.137808,-65.133281,-65.138510
2.600000,-65.139686,-65.135155,-65.140387
2.650000,-65.141553,-65.137018,-65.142252
2.700000,-65.143409,-65.138870,-65.144106
2.750000,-65.145254,-65.140711,-65.145949
2.800000,-65.147088,-65.142541,-65.147781
2.850000,-65.148912,-65.144361,-65.149603
2.900000,-65.150725,-65.146170,-65.151415
2.950000,-65.152528,-65.147970,-65.153217
3.000000,-65.154322,-65.149760,-65.155009
3.050000,-65.156106,-65.151540,-65.156791
3.100000,-65.157880,-65.153311,-65.158564
3.150000,-65.159646,-65.155073,-65.160328
3.200000,-65.161402,-65.156826,-65.162082
3.250000,-65.163150,-65.158570,-65.163828
3.300000,-65.164888,-65.160306,-65.165565
3.350000,-65.166618,-65.162033,-65.167294
3.400000,-65.168340,-65.163751,-65.169014
3.450000,-65.170054,-65.165462,-65.170726
3.500000,-65.171759,-65.167164,-65.172430
3.550000,-65.173457,-65.168859,-65.174126
3.600000,-65.175147,-65.170546,-65.175815
3.650000,-65.176829,-65.172225,-65.177496
3.700000,-65.178504,-65.173897,-65.179169
3.750000,-65.180171,-65.175561,-65.180835
3.800000,-65.181831,-65.177219,-65.182493
3.850000,-65.183484,-65.178869,-65.184145
3.900000,-65.185130,-65.180512,-65.185789
3.950000,-65.186769,-65.182148,-65.187427
4.000000,-65.188401,-65.183778,-65.189057
4.050000,-65.190026,-65.185401,-65.190681
4.100000,-65.191645,-65.187017,-65.192299
4.150000,-65.193257,-65.188627,-65.193910
4.200000,-65.194863,-65.190230,-65.195514
4.250000,-65.196462,-65.191827,-65.197112
4.300000,-65.198056,-65.193418,-65.198704
4.350000,-65.199643,-65.195003,-65.200290
4.400000,-65.201224,-65.196582,-65.201870
4.450000,-65.202799,-65.198155,-65.203444
4.500000,-65.204368,-65.199722,-65.205012
4.550000,-65.205931,-65.201283,-65.206574
4.600000,-65.207489,-65.202839,-65.208130
4.650000,-65.209041,-65.204388,-65.209681
4.700000,-65.210587,-65.205933,-65.211226
4.750000,-65.212128,-65.207472,-65.212765
4.800000,-65.213663,-65.209005,-65.214299
4.850000,-65.215193,-65.210533,-65.215828
4.900000,-65.216717,-65.212056,-65.217351
4.950000,-65.218236,-65.213573,-65.218870
5.000000,-65.219750,-65.215086,-65.220382
5.050000,-65.221259,-65.216593,-65.221890
5.100000,-65.222763,-65.218095,-65.223393
5.150000,-65.224262,-65.219592,-65.224890
5.200000,-65.225756,-65.221084,-65.226383
5.250000,-65.227244,-65.222572,-65.227871
5.300000,-65.228728,-65.224054,-65.229354
5.350000,-65.230207,-65.225532,-65.230832
5.400000,-65.231682,-65.227005,-65.232305
5.450000,-65.233151,-65.228473,-65.233773
5.500000,-65.234616,-65.229937,-65.235237
5.550000,-65.236076,-65.231396,-65.236696
5.600000,-65.237532,-65.232850,-65.238151
5.650000,-65.238983,-65.234300,-65.239601
5.700000,-65.240430,-65.235745,-65.241046
5.750000,-65.241872,-65.237186,-65.242488
5.800000,-65.243309,-65.238623,-65.243924
5.850000,-65.244743,-65.240055,-65.245356
5.900000,-65.246172,-65.241483,-65.246784
5.950000,-65.247596,-65.242907,-65.248208
6.000000,-65.249017,-65.244326,-65.249627
6.050000,-65.250433,-65.245742,-65.251043
6.100000,-65.251845,-65.247153,-65.252454
6.150000,-65.253253,-65.248559,-65.253860
6.200000,-65.254656,-65.249962,-65.255263
6.250000,-65.256056,-65.251361,-65.256662
6.300000,-65.257451,-65.252756,-65.258056
6.350000,-65.258843,-65.254146,-65.259446
6.400000,-65.260230,-65.255533,-65.260833
6.450000,-65.261613,-65.256916,-65.262215
6.500000,-65.262993,-65.258295,-65.263594
6.550000,-65.264369,-65.259670,-65.264969
6.600000,-65.265740,-65.261041,-65.266339
6.650000,-65.267108,-65.262408,-65.267706
6.700000,-65.268472,-65.263772,-65.269069
6.750000,-65.269832,-65.265132,-65.270429
6.800000,-65.271189,-65.266488,-65.271784
6.850000,-65.272542,-65.267840,-65.273136
6.900000,-65.273890,-65.269188,-65.274484
