time_ms soma_mV ais_mV
0.000000 -72.800000 -72.800000
0.025000 -72.799826 -72.799207
0.050000 -72.799673 -72.799012
0.075000 -72.799532 -72.798868
0.100000 -72.799401 -72.798736
0.125000 -72.799276 -72.798610
0.150000 -72.799156 -72.798490
0.175000 -72.799040 -72.798373
0.200000 -72.798927 -72.798261
0.225000 -72.798818 -72.798151
0.250000 -72.798711 -72.798044
0.275000 -72.798607 -72.797940
0.300000 -72.798505 -72.797838
0.325000 -72.798405 -72.797737
0.350000 -72.798306 -72.797638
0.375000 -72.798209 -72.797541
0.400000 -72.798114 -72.797446
0.425000 -72.798020 -72.797352
0.450000 -72.797927 -72.797259
0.475000 -72.797835 -72.797167
0.500000 -72.797745 -72.797076
0.525000 -72.797655 -72.796987
0.550000 -72.797567 -72.796898
0.575000 -72.797479 -72.796811
0.600000 -72.797393 -72.796724
0.625000 -72.797307 -72.796638
0.650000 -72.797222 -72.796553
0.675000 -72.797138 -72.796469
0.700000 -72.797055 -72.796386
0.725000 -72.796972 -72.796303
0.750000 -72.796890 -72.796221
0.775000 -72.796809 -72.796139
0.800000 -72.796728 -72.796059
0.825000 -72.796648 -72.795978
0.850000 -72.796568 -72.795899
0.875000 -72.796489 -72.795820
0.900000 -72.796411 -72.795741
0.925000 -72.796333 -72.795663
0.950000 -72.796255 -72.795586
0.975000 -72.796178 -72.795509
1.000000 -72.796102 -72.795432
1.025000 -72.796026 -72.795356
1.050000 -72.795950 -72.795280
1.075000 -72.795875 -72.795205
1.100000 -72.795800 -72.795130
1.125000 -72.795725 -72.795056
1.150000 -72.795651 -72.794982
1.175000 -72.795578 -72.794908
1.200000 -72.795505 -72.794835
1.225000 -72.795432 -72.794762
1.250000 -72.795359 -72.794689
1.275000 -72.795287 -72.794617
1.300000 -72.795215 -72.794545
1.325000 -72.795143 -72.794473
1.350000 -72.795072 -72.794402
1.375000 -72.795001 -72.794331
1.400000 -72.794931 -72.794260
1.425000 -72.794860 -72.794190
1.450000 -72.794790 -72.794120
1.475000 -72.794720 -72.794050
1.500000 -72.794651 -72.793980
1.525000 -72.794582 -72.793911
1.550000 -72.794513 -72.793842
1.575000 -72.794444 -72.793773
1.600000 -72.794375 -72.793705
1.625000 -72.794307 -72.793637
1.650000 -72.794239 -72.793569
1.675000 -72.794171 -72.793501
1.700000 -72.794104 -72.793433
1.725000 -72.794037 -72.793366
1.750000 -72.793970 -72.793299
1.775000 -72.793903 -72.793232
1.800000 -72.793836 -72.793165
1.825000 -72.793770 -72.793099
1.850000 -72.793703 -72.793033
1.875000 -72.793637 -72.792967
1.900000 -72.793572 -72.792901
1.925000 -72.793506 -72.792835
1.950000 -72.793441 -72.792770
1.975000 -72.793375 -72.792704
2.000000 -72.793310 -72.792639
2.025000 -72.793245 -72.792574
2.050000 -72.793181 -72.792510
2.075000 -72.793116 -72.792445
2.100000 -72.793052 -72.792381
2.125000 -72.792988 -72.792316
2.150000 -72.792924 -72.792252
2.175000 -72.792860 -72.792189
2.200000 -72.792796 -72.792125
2.225000 -72.792733 -72.792061
2.250000 -72.792669 -72.791998
2.275000 -72.792606 -72.791935
2.300000 -72.792543 -72.791872
2.325000 -72.792480 -72.791809
2.350000 -72.792417 -72.791746
2.375000 -72.792355 -72.791683
2.400000 -72.792292 -72.791621
2.425000 -72.792230 -72.791559
2.450000 -72.792168 -72.791496
2.475000 -72.792106 -72.791434
2.500000 -72.792044 -72.791372
2.525000 -72.791982 -72.791311
2.550000 -72.791921 -72.791249
2.575000 -72.791859 -72.791188
2.600000 -72.791798 -72.791126
2.625000 -72.791737 -72.791065
2.650000 -72.791675 -72.791004
2.675000 -72.791614 -72.790943
2.700000 -72.791554 -72.790882
2.725000 -72.791493 -72.790821
2.750000 -72.791432 -72.790761
2.775000 -72.791372 -72.790700
2.800000 -72.791311 -72.790640
2.825000 -72.791251 -72.790579
2.850000 -72.791191 -72.790519
2.875000 -72.791131 -72.790459
2.900000 -72.791071 -72.790399
2.925000 -72.791011 -72.790339
